Nombre y apellidos;Grupo;Lista;ProvinciaAlaQueRepresenta;Alta;Baja;
Álvarez de Toledo Peralta-Ramos, Cayetana;Popular;PP;Barcelona;17 de mayo de 2019;;
Andrés Añón, Carmen;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Andrés Barea, Josefa;Socialista;PSOE;Valencia;10 de mayo de 2019;;
Antón Cacho, Javier;Socialista;PSOE;Soria;8 de mayo de 2019;;
Aranda Vargas, Francisco;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Arangüena Fernández, Pablo;Socialista;PSdeG-PSOE;La Coruña;13 de mayo de 2019;;
Arrimadas García, Inés;Ciudadanos;Ciudadanos;Barcelona;16 de mayo de 2019;;
Arteaga Espinosa de los Monteros, María Dolores;Ciudadanos;Ciudadanos;Albacete;13 de mayo de 2019;;
Asens Llodrà, Jaume;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;En Comú Podem;Barcelona;14 de mayo de 2019;;
Bal Francés, Edmundo;Ciudadanos;Ciudadanos;Madrid;8 de mayo de 2019;;
Baldoví Roda, Joan;Mixto;Compromís;Valencia;20 de mayo de 2019;;
Barandiaran Benito, Íñigo;Vasco (EAJ-PNV);EAJ-PNV;Guipúzcoa;14 de mayo de 2019;;
Bartolomé Cachón, José Antonio;Ciudadanos;Ciudadanos;Zamora;13 de mayo de 2019;;
Bassa Coll, Montserrat;Republicano;ERC-S;Gerona;16 de mayo de 2019;;
Batet Lamaña, Meritxell;Socialista;PSC;Barcelona;9 de mayo de 2019;;
Belarra Urteaga, Ione;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Navarra;13 de mayo de 2019;;
Beltrán Villalba, Ana María;Popular;PP;Madrid;14 de mayo de 2019;;
Berja Vega, Laura;Socialista;PSOE;Jaén;7 de mayo de 2019;;
Bermúdez de Castro Fernández, José Antonio;Popular;PP;Salamanca;16 de mayo de 2019;;
Betoret Coll, Vicente;Popular;PP;Valencia;7 de mayo de 2019;;
Blanco Garrido, Mª Mar;Popular;PP;Madrid;17 de mayo de 2019;;
Blanco Llamas, María Isabel;Popular;PP;Zamora;17 de mayo de 2019;17 de julio de 2019;
Blanquer Alcaraz, Patricia;Socialista;PSOE;Alicante;8 de mayo de 2019;;
Borràs Castanyer, Laura;Mixto;JxCat-JUNTS;Barcelona;17 de mayo de 2019;;
Bonilla Domínguez, María Jesús;Popular;PP;Cuenca;12 de junio de 2019;;
Borrego Cortés, Isabel María;Popular;PP;Murcia;9 de mayo de 2019;;
Botella Gómez, Ana María;Socialista;PSOE;Valencia;10 de mayo de 2019;;
Bravo Barco, Eva;Socialista;PSOE;Cádiz;16 de mayo de 2019;;
Bueno Campanario, Eva Patricia;Socialista;PSOE;Sevilla;20 de mayo de 2019;;
Caballero Gutiérrez, Helena;Socialista;PSOE;Valladolid;8 de mayo de 2019;;
Cabezón Casas, Tomás;Popular;PP;Soria;7 de mayo de 2019;;
Calderón Díaz, María José;Ciudadanos;Ciudadanos;Badajoz;13 de mayo de 2019;;
Calva Ruiz, María Jesús;Socialista;PSOE;Cantabria;10 de mayo de 2019;;
Calvo García, Eduardo;Ciudadanos;Ciudadanos;Segovia;14 de mayo de 2019;;
Calvo Poyato, Carmen;Socialista;PSOE;Madrid;13 de mayo de 2019;;
Cambronero Piqueras, Pablo;Ciudadanos;Ciudadanos;Sevilla;17 de mayo de 2019;;
Campo Moreno, Juan Carlos;Socialista;PSOE;Cádiz;14 de mayo de 2019;;
Canales Duque, Mariana de Gracia;Socialista;PSOE;Cuenca;6 de mayo de 2019;;
Cancela Rodríguez, Pilar;Socialista;PSdeG-PSOE;La Coruña;9 de mayo de 2019;;
Cañigueral Olivé, Laia;Republicano;ERC-S;Gerona;16 de mayo de 2019;;
Cano Leal, Francisco Javier;Ciudadanos;Ciudadanos;Cádiz;13 de mayo de 2019;;
Cantera de Castro, Zaida;Socialista;PSOE;Madrid;8 de mayo de 2019;;
Capdevila i Esteve, Joan;Republicano;ERC-S;Barcelona;16 de mayo de 2019;;
Carcedo Roces, María Luisa;Socialista;PSOE;Asturias;14 de mayo de 2019;;
Carrillo de los Reyes, Beatriz Micaela;Socialista;PSOE;Sevilla;6 de mayo de 2019;;
Carvalho Dantas, María;Republicano;ERC-S;Barcelona;16 de mayo de 2019;;
Casado Blanco, Pablo;Popular;PP;Madrid;20 de mayo de 2019;;
Casero Ávila, Alberto;Popular;PP;Cáceres;10 de mayo de 2019;;
Catalá Polo, Rafael;Popular;PP;Cuenca;20 de mayo de 2019;31 de mayo de 2019;
Celaá Diéguez, Isabel;Socialista;PSE-EE-PSOE;Álava;16 de mayo de 2019;;
Cerdán León, Santos;Socialista;PSOE;Navarra;14 de mayo de 2019;;
Chamorro Delmo, Ricardo;Vox;Vox;Ciudad Real;17 de mayo de 2019;;
Clavell López, Óscar;Popular;PP;Castellón;13 de mayo de 2019;;
Clemente Guadilla, Luis;Socialista;PSOE;Cantabria;10 de mayo de 2019;;
Contestí Roselló, Magdalena Margarita;Vox;Vox;Islas Baleares;17 de mayo de 2019;;
Corredor Sierra, María Beatriz;Socialista;PSOE;Madrid;16 de mayo de 2019;;
Cortés Fernández, Juan José;Popular;PP;Huelva;9 de mayo de 2019;;
Cortés Gómez, Ismael;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;En Comú Podem;Tarragona;13 de mayo de 2019;;
Crespín Rubio, Rafaela;Socialista;PSOE;Córdoba;16 de mayo de 2019;;
Cruz-Guzmán García, María Soledad;Popular;PP;Sevilla;14 de mayo de 2019;;
Cuatrecasas Asua, Juan;Socialista;PSOE;La Rioja;17 de mayo de 2019;;
De la Torre Díaz, Francisco;Ciudadanos;Ciudadanos;Madrid;10 de mayo de 2019;;
De Meer Méndez, Rocío;Vox;Vox;Almería;16 de mayo de 2019;;
De Páramo Gómez, Fernando;Ciudadanos;Ciudadanos;Barcelona;16 de mayo de 2019;;
