Nombre y apellidos;Grupo;Lista;ProvinciaAlaQueRepresenta;Alta;Baja;
Lorite Lorite, Andrés;Popular;PP;Córdoba;10 de mayo de 2019;;
Maestro Moliner, Roser;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Valencia;8 de mayo de 2019;;
Máñez Rodríguez, Elena;Socialista;PSOE;Las Palmas;16 de mayo de 2019;;
Marcos Ortega, Milagros;Popular;PP;Palencia;9 de mayo de 2019;;
Margall Sastre, Joan;Republicano;ERC-S;Gerona;16 de mayo de 2019;;
Mari Klose, Pau;Socialista;PSOE;Zaragoza;16 de mayo de 2019;;
Mariscal Anaya, Guillermo;Popular;PP;Las Palmas;9 de mayo de 2019;;
Mariscal Zabala, Manuel;Vox;Vox;Toledo;16 de mayo de 2019;;
Maroto Illera, Reyes;Socialista;PSOE;Madrid;13 de mayo de 2019;;
Márquez Guerrero, María;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Sevilla;14 de mayo de 2019;;
Marra Domínguez, María Ángeles;Socialista;PSdeG-PSOE;Pontevedra;9 de mayo de 2019;;
Marrodán Funes, María;Socialista;PSOE;La Rioja;17 de mayo de 2019;;
Martín Llaguno, Marta;Ciudadanos;Ciudadanos;Alicante;13 de mayo de 2019;;
Martínez Ferro, María Valentina;Popular;PP;La Coruña;9 de mayo de 2019;;
Martínez González, José Luis;Ciudadanos;Ciudadanos;Murcia;13 de mayo de 2019;;
Martínez Granados, María Carmen;Ciudadanos;Ciudadanos;Cádiz;17 de mayo de 2019;;
Martínez Seijo, María Luz;Socialista;PSOE;Palencia;9 de mayo de 2019;;
Matarí Sáez, Juan José;Popular;PP;Almería;8 de mayo de 2019;;
Matute García de Jalón, Oskar;Mixto;EH Bildu;Vizcaya;14 de mayo de 2019;;
Mayo Alonso, Soraya;Ciudadanos;Ciudadanos;Valladolid;9 de mayo de 2019;;
Mayoral Perales, Rafael;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;Unidas Podemos;Madrid;13 de mayo de 2019;;
Mazón Ramos, José María Ángel;Mixto;PRC;Cantabria;9 de mayo de 2019;;
Meijón Couselo, Guillermo Antonio;Socialista;PSdeG-PSOE;Pontevedra;9 de mayo de 2019;;
Mejías Sánchez, Carina;Ciudadanos;Ciudadanos;Barcelona;15 de julio de 2019;;
Mena Arca, Joan;Confederal de Unidas Podemos-En Comú Podem-Galicia en Común;En Comú Podem;Barcelona;13 de mayo de 2019;;
Méndez Monasterio, Lourdes;Vox;Vox;Murcia;9 de mayo de 2019;;
Mesquida Ferrando, Joan;Ciudadanos;Ciudadanos;Islas Baleares;7 de mayo de 2019;;
Mestre Barea, Manuel;Vox;Vox;Alicante;17 de mayo de 2019;;
Millán Salmerón, María Virginia;Ciudadanos;Ciudadanos;Sevilla;14 de mayo de 2019;;
Mínguez García, Montse;Socialista;PSC;Lleida;9 de mayo de 2019;;
Miquel i Valentí, Sergi;Mixto;JxCat-JUNTS;Gerona;8 de mayo de 2019;;
Mirón Canelo, José Antonio;Ciudadanos;Ciudadanos;Salamanca;13 de mayo de 2019;;
